Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
RBM17	37477	
RBM17	37478	
LRRC4C	HPA051335	
LRRC4C	HPA054800	
LRRC4C	51335	
LRRC4C	54800	
NRXN1		
CYB561A3	HPA052548	
CYB561A3	52548	
ZNF562		
RBM17	37478	
STMP1		
NRXN1	71400	
ZNF562	62397	
RBM17	37478	
GALNT10	HPA007525	
GALNT10	7525	
ZNF562	62397	
PDCL2	HPA048260	
PDCL2	48260	
THAP7	HPA003083	
THAP7	3083	
RBM17	37478	
ZNF562		
BORCS8	HPA045700	
LRRC4C	HPA051335	
LRRC4C	HPA054800	
LRRC4C	51335	
LRRC4C	54800	
STMP1	HPA065565	
STMP1	65565	
RBM17		
BORCS8		
MYO18B		
LRRC4C	HPA051335	
LRRC4C	HPA054800	
LRRC4C	51335	
LRRC4C	54800	
NRXN1		
LRRC4C	HPA051335	
LRRC4C	HPA054800	
LRRC4C	51335	
LRRC4C	54800	
THAP7	HPA003083	
THAP7	3083	
LRRC4C		
WDR55	HPA043470	
WDR55	HPA048143	
WDR55	43470	
WDR55	48143	
NRXN1		
LRRC4C	HPA051335	
LRRC4C	HPA054800	
LRRC4C	51335	
LRRC4C	54800	
TMEM138	HPA042373	
TMEM138	42373	
FLVCR2	HPA037984	
FLVCR2	37984	
MYO18B	953	
NSDHL	HPA000248	
NSDHL	HPA000571	
NSDHL	248	
NSDHL	571	
NRXN1		
MYO18B		
WDR55		
BORCS8	HPA045700	
BORCS8	45700	
NSDHL	248	
NRXN1		
BORCS8		
NRXN1		
FLVCR2	HPA037984	
FLVCR2	37984	
NSDHL	HPA000248	
NSDHL	HPA000571	
NSDHL	248	
NSDHL	571	
RBM17	HPA037477	
RBM17	HPA037478	
RBM17	37477	
RBM17	37478	
FLVCR2		
WDR55		
FLVCR2		
NRXN1		
VPS53	HPA022988	
VPS53	HPA024446	
VPS53	22988	
VPS53	24446	
FLVCR2		
SMTN	1721	
NRXN1		
FLVCR2		
NRXN1		
FLVCR2		
TMEM138	HPA042373	
MFAP3	49198	
NRXN1		
BORCS8	HPA045700	
BORCS8	45700	
FLVCR2	37984	
NRXN1		
MFAP3	HPA015883	
MFAP3	HPA049198	
MFAP3	15883	
NRXN1		
CDH24	HPA065233	
HSD17B4	HPA021302	
HSD17B4	HPA021311	
HSD17B4	HPA021479	
HSD17B4	21311	
HSD17B4	21479	
CDH24	HPA065233	
CDH24	65233	
SMTN	1721	
MAPRE1	CAB009337	
MAPRE1	CAB019391	
MAPRE1	HPA003600	
MAPRE1	3600	
MAPRE1	9337	
MAPRE1	19391	
BUB3	CAB037075	
BUB3	HPA003601	
BUB3	3601	
BUB3	37075	
CR753842.1		
CCKBR		
BUB3	37075	
CR753842.1		
TMEM138	42373	
CCKBR		
NRXN1		
NRXN1	71400	
NRXN1	71400	
BUB3	CAB037075	
BUB3	HPA003601	
BUB3	3601	
BUB3	37075	
CCKBR		
BUB3	37075	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
CCKBR		
CDH24	HPA065233	
CDH24	HPA065233	
CDH24	65233	
NR2C2AP	HPA042054	
NR2C2AP	HPA055653	
NR2C2AP	42054	
NR2C2AP	55653	
CCKBR		
HARS2		
CDH24		
NR2C2AP	HPA042054	
NR2C2AP	HPA055653	
NR2C2AP	42054	
NR2C2AP	55653	
SMTN	1721	
SMTN	51778	
TTLL5		
NR2C2AP		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NR2C2AP	55653	
NR2C2AP		
SMTN	1721	
ZBED9		
HARS2		
SMTN	1721	
SMTN	51778	
MFAP3	HPA015883	
MFAP3	HPA049198	
MFAP3	15883	
MFAP3	49198	
ZBED9	HPA007246	
ZBED9	7246	
EGFR	35	
EGFR	1200	
EGFR	68186	
EGFR	73534	
REL	CAB004404	
REL	4404	
MSN	10898	
MSN	47336	
MSN	47338	
REL	CAB004404	
REL	4404	
MFAP3		
REL		
NFKB2	CAB022098	
NFKB2	HPA008422	
NFKB2	HPA023900	
NFKB2	8422	
NFKB2	22098	
NFKB2	23900	
SCN3B	HPA041707	
SCN3B	41707	
NFKB2	CAB022098	
NFKB2	HPA008422	
NFKB2	HPA023900	
NFKB2	8422	
NFKB2	22098	
NFKB2	23900	
NFKB2	CAB022098	
NFKB2	HPA008422	
NFKB2	HPA023900	
P2RX6	HPA028776	
P2RX6	HPA028777	
P2RX6	28776	
P2RX6	28777	
NUP210	HPA066888	
NUP210	66888	
MFAP3		
NFKB2	CAB022098	
NFKB2	HPA008422	
NFKB2	HPA023900	
NFKB2	8422	
NFKB2	22098	
NFKB2	23900	
NFKB2		
CRMP1	CAB037313	
CRMP1	HPA035640	
CRMP1	35640	
CRMP1	37313	
SCN3B		
SCN3B		
SCN3B		
SCN3B		
RSPH1	HPA016816	
RSPH1	HPA017382	
RSPH1	16816	
RSPH1	17382	
SCN3B	HPA041707	
SCN3B	41707	
RSPH1	HPA016816	
RSPH1	HPA017382	
RSPH1	16816	
RSPH1	17382	
GPANK1		
SCN3B	HPA041707	
SCN3B	41707	
CRMP1	CAB037313	
CRMP1	HPA035640	
CRMP1	35640	
CRMP1	37313	
VPS53		
MSN	CAB010898	
MSN	CAB047336	
MSN	CAB047338	
MSN	HPA000263	
MSN	HPA011135	
MSN	HPA011227	
MSN	263	
MSN	10898	
MSN	11135	
MSN	11227	
MSN	47336	
MSN	47338	
RASA4B	HPA043010	
RASA4B	43010	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
VPS53		
SLC37A1	34154	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
MYRIP	HPA006433	
MYRIP	6433	
SDCBP	CAB012245	
SDCBP	HPA023840	
SDCBP	12245	
SDCBP	23840	
EGFR	CAB000035	
EGFR	CAB068186	
EGFR	CAB073534	
EGFR	HPA001200	
EGFR	HPA018530	
EGFR	35	
EGFR	1200	
EGFR	68186	
EGFR	73534	
RASA4B	43010	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
RASA4B		
VPS53	HPA022988	
VPS53	HPA024446	
VPS53	22988	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
MYRIP	HPA006433	
MYRIP	6433	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
EGFR	CAB000035	
EGFR	CAB068186	
EGFR	CAB073534	
EGFR	HPA001200	
EGFR	HPA018530	
EGFR	35	
EGFR	1200	
EGFR	68186	
EGFR	73534	
VPS53	HPA022988	
VPS53	HPA024446	
VPS53	22988	
SDCBP	CAB012245	
SDCBP	HPA023840	
SDCBP	12245	
SDCBP	23840	
GPANK1		
EGFR	CAB000035	
EGFR	CAB068186	
EGFR	CAB073534	
EGFR	HPA001200	
EGFR	HPA018530	
EGFR	35	
EGFR	68186	
EGFR	73534	
MYRIP	HPA006433	
MYRIP	6433	
VPS53		
SDCBP	CAB012245	
SDCBP	HPA023840	
SDCBP	12245	
SDCBP	23840	
RPS27L	HPA066851	
RPS27L	66851	
SDCBP	CAB012245	
SDCBP	HPA023840	
SDCBP	12245	
SDCBP	23840	
CRMP1	35640	
CRMP1	37313	
RPS27L	66851	
RPS27L		
FKBP9	HPA055256	
FKBP9	HPA012595	
FKBP9	12595	
FKBP9	55256	
VPS53		
RPS27L		
SDCBP	12245	
SDCBP	23840	
GPANK1		
HSD17B4		
P2RX6		
RPS27L		
SDCBP	12245	
EGFR	CAB000035	
EGFR	CAB068186	
EGFR	CAB073534	
EGFR	HPA001200	
EGFR	HPA018530	
EGFR	35	
EGFR	1200	
EGFR	18530	
EGFR	68186	
EGFR	73534	
ARSE		
GPANK1		
VPS53	22988	
RPS27L	66851	
NFATC4	32859	
P2RX6	HPA028776	
P2RX6	HPA028777	
P2RX6	28776	
P2RX6	28777	
GPANK1		
GPANK1		
VPS53		
NFATC4	32859	
GPANK1		
HSD17B4	HPA021302	
HSD17B4	HPA021311	
HSD17B4	HPA021479	
HSD17B4	21311	
HSD17B4	21479	
GPANK1		
GPANK1		
GPANK1		
SH3PXD2A	HPA037922	
SH3PXD2A	HPA037923	
SH3PXD2A	37922	
SH3PXD2A	37923	
P2RX6		
BORCS8-MEF2B		
MYRIP		
BORCS8-MEF2B		
MYRIP	HPA006433	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
BORCS8-MEF2B		
SDCBP	12245	
FKBP9		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
SH3PXD2A	37922	
SH3PXD2A	37923	
LY75	CAB001450	
LY75	HPA049108	
LY75	HPA054073	
LY75	1450	
LY75	49108	
LY75	54073	
SH3PXD2A	HPA037922	
SH3PXD2A	HPA037923	
SH3PXD2A	37922	
SH3PXD2A	37923	
NFATC4	32859	
SDCBP	12245	
SDCBP	23840	
ARSE		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC6A1	13341	
SLC6A1	22293	
BORCS8-MEF2B	4734	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
ARSE		
P2RX6		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
FKBP9	HPA055256	
FKBP9	HPA012595	
FKBP9	12595	
FKBP9	55256	
P2RX6		
FKBP9	HPA055256	
FKBP9	HPA012595	
FKBP9	55256	
MCOLN1	CAB032637	
MCOLN1	HPA031763	
MCOLN1	31763	
MCOLN1	32637	
BORCS8-MEF2B		
HSD17B4	HPA021302	
HSD17B4	HPA021311	
HSD17B4	HPA021479	
HSD17B4	21311	
SLC6A1	22293	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
AC020907.6		
SLC6A1		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
HSD17B4		
LACTB	HPA036361	
LACTB	HPA036362	
LACTB	36361	
LACTB	36362	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
LACTB	HPA036361	
LACTB	HPA036362	
LACTB	36362	
CEMIP2	HPA044889	
CEMIP2	44889	
ARSE	60518	
ARSE	70651	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
LACTB		
SLC6A1		
ARSE	HPA060518	
ARSE	HPA070651	
ARSE	60518	
ARSE	70651	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
SLC7A4	HPA031023	
SLC7A4	31023	
MYRIP	HPA006433	
MYRIP	6433	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
MCOLN1	32637	
ARSE		
EGFR	35	
EGFR	68186	
EGFR	73534	
SLC6A1		
ARSE		
MYRIP	HPA006433	
MYRIP	6433	
SLC7A4	HPA031023	
SLC7A4	31023	
ARSE		
EGFR	35	
EGFR	1200	
EGFR	18530	
EGFR	68186	
EGFR	73534	
CEMIP2	HPA044889	
CEMIP2	44889	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC7A4		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
CD302		
ARSE	60518	
ARSE	70651	
MCOLN1	32637	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
EGFR	35	
EGFR	1200	
EGFR	68186	
EGFR	73534	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
SLC6A1		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
CEMIP2		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	31641	
NFATC4	32859	
NFATC4	76526	
CD302		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
CD302		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
AC008878.2		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC6A1		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	32859	
SLC37A1	CAB034154	
SLC37A1	HPA030418	
SLC37A1	30418	
SLC37A1	34154	
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	32859	
NFATC4	76526	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
CEMIP2		
NFATC4	CAB032859	
NFATC4	HPA031641	
NFATC4	HPA076526	
NFATC4	32859	
NFATC4	76526	
LAMA4	15693	
LAMA4	78156	
TTLL5	32128	
CEMIP2		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
TTLL5	HPA032128	
CEMIP2		
HERC2		
SLC6A1		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
HERC2		
SLC37A1	CAB034154	
SLC37A1	HPA030418	
SLC37A1	30418	
SLC37A1	34154	
SLC6A1		
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC37A1	34154	
SLC6A1		
CEMIP2		
LAMA4	15693	
LAMA4	78156	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
SLC6A1	CAB022293	
SLC6A1	HPA013341	
TTLL5	HPA032128	
TTLL5	32128	
SLC6A1		
LAMA4	15693	
LAMA4	78156	
SLC6A1		
LAMA4		
SLC6A1		
SLC6A1		
LAMA4		
LAMA4	15693	
LAMA4	78156	
SLC6A1		
LAMA4		
LAMA4	78156	
LAMA4	78156	
LAMA4	78156	
RFXANK	49157	
KEL		
IER3IP1	HPA010027	
IER3IP1	10027	
IER3IP1	10027	
POU5F1	HPA058267	
POU5F1	CAB025600	
POU5F1	CAB026380	
LAMA4	78156	
POU5F1	HPA058267	
POU5F1	CAB025600	
POU5F1	CAB026380	
LAMA4	78156	
HLA-DRB1	CAB015400	
HLA-DRB1	CAB034021	
HLA-DRB1	15400	
HLA-DRB1	34021	
HLA-DRB1	43151	
AC012254.2		
RING1	HPA008701	
TTLL5	HPA032128	
TTLL5	32128	
LAMA4	78156	
LAMA4	78156	
TTLL5	32128	
AC012254.2		
KEL		
IGHV4-28		
TTLL5		
HMBOX1	CAB070418	
HMBOX1	HPA055855	
HMBOX1	HPA058586	
HMBOX1	55855	
HMBOX1	58586	
HMBOX1	70418	
LAMA4	78156	
KEL		
GTSF1L	HPA054694	
GTSF1L	54694	
KEL		
HMBOX1	70418	
GTSF1L	HPA054694	
GTSF1L	54694	
ANKRD44	30122	
ANKRD44	56549	
AC012254.2		
HMBOX1	CAB070418	
HMBOX1	HPA055855	
HMBOX1	HPA058586	
HMBOX1	58586	
HMBOX1	70418	
LAMA4	78156	
LAMA4	78156	
CORO7	HPA041657	
CORO7	HPA053586	
CORO7	HPA062721	
CORO7	41657	
CORO7	53586	
HMBOX1	58586	
HMBOX1	70418	
IGHV3-30		
HMBOX1	58586	
HMBOX1	70418	
AL365214.3		
AL365214.3		
SPAG11A		
SMTN	CAB001721	
SMTN	HPA051778	
SMTN	HPA058590	
SMTN	1721	
SMTN	51778	
SMTN	58590	
AL365214.3	59324	
SMTN	CAB001721	
SMTN	HPA051778	
SMTN	HPA058590	
SMTN	1721	
SMTN	51778	
SMTN	58590	
HARS2		
HMBOX1	CAB070418	
HMBOX1	HPA055855	
HMBOX1	HPA058586	
HMBOX1	55855	
HMBOX1	58586	
HMBOX1	70418	
HARS2	35941	
RFPL4B	HPA059324	
RFPL4B	HPA066464	
RFPL4B	59324	
RFPL4B	66464	
TLX1		
SMTN	CAB001721	
SMTN	HPA051778	
SMTN	HPA058590	
SMTN	1721	
SMTN	51778	
SMTN	58590	
HMBOX1	58586	
HMBOX1	70418	
SPAG11A		
AC234301.4		
TLX1		
GPATCH1	HPA043430	
GPATCH1	HPA043604	
GPATCH1	43430	
GPATCH1	43604	
TLX1		
SPAG11A		
SMARCB1		
GPATCH1		
DDB1	CAB032821	
DDB1	HPA045174	
DDB1	HPA068456	
DDB1	32821	
DDB1	45174	
DDB1	68456	
HMBOX1	CAB070418	
HMBOX1	HPA055855	
HMBOX1	HPA058586	
HLA-DMB		
SPAG11A		
HMBOX1	58586	
HMBOX1	70418	
IGHV3-33		
SPAG11A		
MLLT3	HPA001824	
MLLT3	1824	
ANKRD34B	HPA043327	
ANKRD34B	43327	
CSNK2B		
HMBOX1	CAB070418	
HMBOX1	HPA055855	
HMBOX1	HPA058586	
HMBOX1	58586	
HMBOX1	70418	
SPAG11A		
ASB4	HPA055240	
ASB4	55240	
SPAG11A		
ANKRD34B		
SPAG11A		
SMTN	1721	
SMTN	51778	
SPAG11A	23842	
ASB4	HPA055240	
ASB4	55240	
HMBOX1		
MLLT3	HPA001824	
MLLT3	1824	
HSPA1L	HPA052504	
HSPA1L	HPA043285	
HLA-DMB		
ANKRD44		
ANKRD44	HPA030122	
ANKRD44	HPA056549	
ANKRD44	30122	
ANKRD44	56549	
AC234301.1		
SMTN	1721	
MLLT3		
OR5B17		
STN1	HPA037924	
STN1	HPA037925	
STN1	37924	
STN1	37925	
SMARCB1		
SMTN	1721	
SMTN	51778	
STN1	HPA037924	
STN1	HPA037925	
STN1	37924	
STN1	37925	
HLA-G		
AL157392.5	47950	
UNC79	HPA071881	
UNC79	71881	
HDHD2	CAB045978	
HDHD2	HPA040697	
HDHD2	HPA059818	
HDHD2	40697	
HDHD2	45978	
HDHD2	59818	
HLA-DMB		
AL157392.5		
SMARCB1	CAB009196	
SMARCB1	HPA018248	
SMARCB1	HPA019127	
ANKRD44	HPA030122	
ANKRD44	HPA056549	
ANKRD44	30122	
ANKRD44	56549	
CSNK2B	CAB004349	
CSNK2B	CAB013087	
CSNK2B	CAB016059	
CSNK2B	HPA005944	
AC234301.3		
ANKRD44	30122	
SMARCB1	CAB009196	
SMARCB1	HPA018248	
SMARCB1	HPA019127	
AL157392.5		
SMARCB1		
HLA-DMB	HPA012298	
HLA-G	CAB016158	
SMTN	1721	
SMTN	1721	
ANKRD44	HPA030122	
ANKRD44	HPA056549	
ANKRD44	30122	
HLA-DMB		
DLGAP2		
MLLT3		
UNC79	71881	
MARCH7	HPA014275	
MARCH7	HPA022152	
MARCH7	14275	
MARCH7	22152	
SMTN	1721	
ANKRD44	HPA030122	
ANKRD44	HPA056549	
DLGAP2		
ANKRD44		
IGHV4-34		
DLGAP2		
MARCH7	HPA014275	
MARCH7	HPA022152	
MARCH7	14275	
MARCH7	22152	
OR9A2		
ANKRD44		
SMTN	1721	
SMTN	51778	
SMTN	58590	
HLA-G	CAB016158	
HLA-G		
SMTN	1721	
SMTN	51778	
SMTN	58590	
MARCH7		
EVC	HPA008703	
EVC	HPA016046	
EVC	8703	
EVC	16046	
UNC79	HPA071881	
UNC79	71881	
UNC79	HPA071881	
UNC79	71881	
DLGAP2		
HLA-G		
OR6V1		
HDHD2		
MARCH7	HPA014275	
MARCH7	HPA022152	
MARCH7	14275	
MARCH7	22152	
HARS2		
EVC	16046	
HDHD2	45978	
HDHD2	59818	
HARS2		
HLA-G	CAB016158	
MARCH7		
HLA-A		
UNC79	HPA071881	
UNC79	71881	
HDHD2	45978	
HDHD2	59818	
MARCH7	14275	
MARCH7	22152	
HARS2	35941	
HDHD2		
HDHD2	45978	
HDHD2	59818	
HDHD2	45978	
HDHD2	59818	
COX8C	HPA003127	
COX8C	3127	
HDHD2		
HDHD2	45978	
HDHD2	59818	
HARS2		
HDHD2	45978	
HDHD2	59818	
CSNK2B	CAB004349	
CSNK2B	CAB013087	
CSNK2B	CAB016059	
CSNK2B	HPA005944	
CSNK2B	CAB004349	
CSNK2B	CAB013087	
CSNK2B	CAB016059	
CSNK2B	HPA005944	
HARS2	HPA035941	
HARS2	35941	
HARS2		
DERL3	CAB037234	
DERL3	HPA049306	
CSNK2B		
HARS2		
FXYD3	HPA010856	
DERL3		
PIP	CAB002661	
PIP	HPA009177	
PIP	2661	
PIP	9177	
CSNK2B		
HARS2	HPA035941	
PDK4	HPA056731	
PDK4	56731	
CSNK2B		
CLN8		
FZD7	HPA069165	
FZD7	69165	
BABAM1	HPA054386	
BABAM1	HPA068786	
BABAM1	54386	
BABAM1	68786	
HARS2	HPA035941	
HARS2		
HARS2		
BABAM1		
DERL3	CAB037234	
DERL3	HPA049306	
OR5B3		
LY6G5B	HPA048307	
OR5B3		
DERL3	CAB037234	
DERL3	HPA049306	
IGHV3-35		
FXYD3	HPA010856	
FXYD3	10856	
ZMAT2		
OR5B2		
BABAM1	HPA054386	
BABAM1	HPA068786	
BABAM1	54386	
BABAM1	68786	
FXYD3	HPA010856	
OR5B2		
BABAM1	54386	
BABAM1	68786	
BABAM1	54386	
BABAM1	68786	
CLN8		
OR5B12		
CWC22	HPA036748	
CWC22	36748	
CLN8		
HLA-A		
OR5B12		
BABAM1	HPA054386	
BABAM1	HPA068786	
BABAM1	54386	
BABAM1	68786	
CWC22		
ZMAT2	HPA036518	
ZMAT2	36518	
HMGB1	CAB005873	
HMGB1	HPA003506	
HMGB1	3506	
HMGB1	5873	
BABAM1		
FXYD3	HPA010856	
HMGB1	CAB005873	
HMGB1	HPA003506	
HMGB1	3506	
HMGB1	5873	
BABAM1	54386	
BABAM1	68786	
ZMAT2		
BABAM1	54386	
BABAM1	68786	
CRABP1	HPA017203	
CRABP1	17203	
RFXANK	HPA049157	
RFXANK	HPA053330	
RFXANK	49157	
RFXANK	53330	
HMGB1	CAB005873	
HMGB1	HPA003506	
HMGB1	3506	
HMGB1	5873	
SEC11C	HPA047533	
SEC11C	HPA026816	
SEC11C	26816	
SEC11C	47533	
FXYD3	HPA010856	
BABAM1	54386	
CRABP1		
RFXANK	HPA049157	
RFXANK	HPA053330	
RFXANK	49157	
HMGB1	3506	
HMGB1	5873	
BABAM1	54386	
BABAM1	68786	
SEC11C	26816	
SEC11C	47533	
FXYD3		
HMGB1	CAB005873	
HMGB1	HPA003506	
HMGB1	3506	
HMGB1	5873	
BABAM1	54386	
BABAM1	68786	
FXYD3		
HMGB1	3506	
HMGB1	5873	
IGHV3-38		
RFXANK	49157	
RFXANK	53330	
BABAM1		
DND1		
SEC11C		
FXYD3	HPA010856	
DDB1		
OR5B21		
TMEM120A		
RFXANK	HPA049157	
RFXANK	HPA053330	
RFXANK	49157	
RFXANK	53330	
FXYD3		
BABAM1		
FXYD3	HPA010856	
BABAM1	54386	
RFXANK	49157	
FXYD3	HPA010856	
IGHV4-39		
FXYD3	HPA010856	
FXYD3	10856	
DDB1	32821	
SEC11C	26816	
SEC11C	47533	
FXYD3	HPA010856	
FXYD3	10856	
FAM166B	HPA045540	
FAM166B	45540	
KIF13A	HPA029253	
KIF13A	HPA029254	
KIF13A	29253	
KIF13A	29254	
RFXANK	49157	
FAM166B	HPA045540	
POLDIP2	HPA007700	
POLDIP2	7700	
FBXW11	HPA062578	
FBXW11	HPA072204	
FAM166B	HPA045540	
FAM166B	45540	
POLDIP2	7700	
KIF13A	29254	
RFXANK		
GPR101	HPA001084	
LRFN3	HPA048923	
LRFN3	48923	
HLA-A		
FBXW11	HPA062578	
FBXW11	HPA072204	
FBXW11	62578	
FBXW11	72204	
GPR101	HPA001084	
GPR101	1084	
FAM166B	45540	
LRFN3	HPA048923	
LRFN3	48923	
RFXANK		
TMEM120A		
FBXW11	HPA062578	
FBXW11	HPA072204	
FBXW11	62578	
FBXW11	72204	
RFXANK		
HLA-DQA1		
KMT5B	HPA063648	
KMT5B	63648	
IGHV3-43		
KMT5B	HPA063648	
TMEM120A		
TMEM120A		
TMEM120A		
KIF13A	HPA029253	
KIF13A	HPA029254	
KIF13A	29253	
KIF13A	29254	
KMT5B		
DDB1	32821	
TMEM120A		
DDB1	32821	
KIF13A	HPA029253	
KIF13A	HPA029254	
KIF13A	29253	
KIF13A	29254	
KMT5B	HPA063648	
TMEM120A		
KMT5B	HPA063648	
DDB1	32821	
KIF13A	HPA029253	
KIF13A	HPA029254	
KIF13A	29253	
KIF13A	29254	
DDB1	32821	
KMT5B		
KIF13A	29253	
KIF13A	29254	
KMT5B		
TNFRSF9	HPA071425	
TNFRSF9	71425	
TNFRSF9		
KMT5B		
IGHV1-45		
FBXW11		
KIF13A	29253	
TNFRSF9		
KIF13A		
IGHV1-46		
TMEM120A		
TNFRSF9	HPA071425	
TNFRSF9	71425	
TNFAIP1	HPA013333	
TNFAIP1	HPA014641	
TNFAIP1	14641	
FBXW11		
FBXW11	62578	
FBXW11	72204	
KMT5B		
FBXW11		
RUSC2	HPA021297	
RUSC2	21297	
KMT5B		
FBXW11		
KMT5B		
CORO7		
UQCC2	39111	
HSD17B4		
RUSC2	HPA021297	
RUSC2	21297	
KMT5B	HPA063648	
KMT5B	63648	
HSD17B4		
LY75-CD302	49108	
CORO7	HPA041657	
CORO7	HPA053586	
CORO7	HPA062721	
CORO7	41657	
CORO7	53586	
TNFAIP1		
UQCC2	HPA039111	
UQCC2	39111	
HSD17B4		
LY75-CD302	49108	
M1AP	HPA045420	
M1AP	HPA059302	
M1AP	45420	
M1AP	59302	
KIF13A	HPA029253	
KIF13A	HPA029254	
UQCC2	39111	
HSD17B4		
M1AP	HPA045420	
M1AP	HPA059302	
M1AP	45420	
M1AP	59302	
HSD17B4		
TMEM184A	HPA053790	
TMEM184A	HPA071312	
TMEM184A	53790	
TMEM184A	71312	
HSPA1A	CAB017451	
HSPA1A	CAB032815	
HSPA1A	HPA052504	
HSD17B4		
HPN		
HSPA1A		
M1AP		
M1AP		
HSD17B4		
WWC1	HPA038016	
WWC1	HPA038017	
WWC1	38016	
WWC1	38017	
HSPA1B	HPA052504	
HSPA1B	CAB008640	
M1AP	59302	
HPN		
TNFAIP1	HPA013333	
TNFAIP1	HPA014641	
TNFAIP1	13333	
TNFAIP1	14641	
HSPA1B		
M1AP	HPA045420	
M1AP	HPA059302	
M1AP	45420	
M1AP	59302	
HSD17B4		
HPN		
HPN		
TNFAIP1		
TNFAIP1		
TMEM184A		
CORO7	HPA041657	
CORO7	HPA053586	
CORO7	HPA062721	
CORO7	41657	
CORO7	53586	
HSD17B4	21311	
HLA-DQA1	HPA012315	
HLA-DQA1	12315	
WWC1	HPA038016	
WWC1	HPA038017	
WWC1	38016	
WWC1	38017	
CORO7		
ZIC3	HPA052936	
ZIC3	HPA069523	
ZIC3	52936	
ZIC3	69523	
USHBP1	HPA052471	
USHBP1	52471	
HSD17B4		
HSD17B4		
CORO7		
HLA-DQA1	HPA012315	
HLA-DQA1	12315	
USHBP1	52471	
ZIC3	HPA052936	
ZIC3	HPA069523	
ZIC3	52936	
HLA-DQA1	12315	
PRPF18	HPA037599	
PRPF18	HPA047950	
