Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
SFRP4	HPA009712	
SFRP4	HPA050585	
SFRP4	9712	
SFRP4	50585	
ADAM17	10738	
ADAM17	25906	
GABRB3		
OR10A4		
SFRP4		
ADAM17		
GABRB3		
OR10A2		
GABRB3		
EPDR1	26298	
OR10A2		
GABRB3		
HIST1H2BL	HPA042205	
HIST1H2BL	HPA043013	
HIST1H2BL	HPA048671	
HIST1H2BL	42205	
HIST1H2BL	43013	
HIST1H2BL	48671	
GABRB3		
EPDR1	CAB026298	
EPDR1	26298	
GABRB3		
FAM8A1	HPA044698	
FAM8A1	HPA073675	
FAM8A1	44698	
FAM8A1	73675	
EPDR1	CAB026298	
EPDR1	26298	
HIST1H2AI	HPA041189	
HIST1H2AI	41189	
FP565260.1	24573	
EPDR1	CAB026298	
EPDR1	26298	
FP565260.1		
HIST1H3H	HPA042570	
HIST1H3H	CAB070190	
HIST1H3H	42570	
GABRB3		
GPR141		
GPR141		
FP565260.1		
GPR141		
FP565260.1		
HIST1H1B	HPA055907	
HIST1H1B	CAB012241	
HIST1H1B	12241	
HIST1H1B	55907	
HIST1H2AL	HPA041189	
HIST1H2AL	41189	
AKAP17A	HPA043247	
AKAP17A	HPA051020	
AKAP17A	43247	
AKAP17A	51020	
GABRB3		
HIST1H4K	HPA042201	
HIST1H4K	CAB011503	
HIST1H4K	CAB021887	
HIST1H4K	CAB037279	
HIST1H4K	42201	
GABRB3		
AKAP17A	HPA043247	
AKAP17A	HPA051020	
HIST1H3I	HPA042570	
HIST1H3I	CAB070190	
HIST1H3I	42570	
AKAP17A	43247	
HIST1H2AK	HPA041189	
HIST1H2AK	41189	
DUOXA1	HPA041578	
DUOXA1	41578	
KLHL7		
DUOXA1	HPA041578	
DUOXA1	41578	
PPP4R4		
HIST1H2BM	HPA042205	
HIST1H2BM	HPA043013	
HIST1H2BM	HPA048671	
HIST1H2BM	42205	
HIST1H2BM	43013	
HIST1H2BM	48671	
DUOXA1	HPA041578	
DUOXA1	41578	
HIST1H2AM	HPA041189	
HIST1H2AM	41189	
DUOXA1	41578	
DUOXA1		
DUOXA1	HPA041578	
DUOXA1	41578	
HIST1H4J	HPA042201	
HIST1H4J	CAB011503	
HIST1H4J	CAB021887	
HIST1H4J	CAB037279	
HIST1H4J	42201	
HIST1H3J	HPA042570	
HIST1H3J	CAB070190	
HIST1H3J	42570	
DUOXA1	HPA041578	
DUOXA1	41578	
DUOXA1		
DUOXA1		
HIST1H4L	HPA042201	
HIST1H4L	CAB011503	
HIST1H4L	CAB021887	
HIST1H4L	CAB037279	
HIST1H4L	42201	
DUOXA1		
DUOXA1		
HIST1H2AJ	HPA041189	
HIST1H2AJ	41189	
DUOXA1		
DUOXA1		
VWDE	HPA026619	
VWDE	HPA036044	
VWDE	26619	
VWDE	36044	
RGN	HPA029102	
RGN	HPA029103	
RGN	29102	
RGN	29103	
HIST1H2BN	HPA042205	
HIST1H2BN	HPA043013	
HIST1H2BN	HPA048671	
HIST1H2BN	42205	
HIST1H2BN	43013	
HIST1H2BN	48671	
CPXM1		
PPP4R4	HPA041866	
PPP4R4	HPA050321	
DUOXA1	41578	
HIST1H2BN	HPA042205	
HIST1H2BN	HPA043013	
HIST1H2BN	HPA048671	
